id,item_id,dept_id,cat_id,store_id,state_id,day,demand,d,date,wday,month,weekday,event_name_1,wm_yr_wk,sell_price,lag_1,lag_7,lag_14,lag_28,rmean_7,rstd_7,rmean_14,rstd_14,rmean_28,rstd_28,price_change,price_pct_change,rolling_price_mean_28,day_of_week,is_weekend,is_month_start,is_month_end,year,day_of_year,is_event,time_index,naive_forecast,residual,dow,time_idx
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_1,107.0,d_1,2011-01-29,1,1,Saturday,,11101,1.25,,,,,,,,,,,,,,Saturday,1,0,0,2011,29,0,0,,,5,0
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_2,182.0,d_2,2011-01-30,2,1,Sunday,,11101,1.25,107.0,,,,,,,,,,0.0,0.0,,Sunday,1,0,0,2011,30,0,1,107.0,75.0,6,1
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_3,47.0,d_3,2011-01-31,3,1,Monday,,11101,1.25,182.0,,,,,,,,,,0.0,0.0,,Monday,0,0,1,2011,31,0,2,182.0,-135.0,0,2
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_4,47.0,d_4,2011-02-01,4,2,Tuesday,,11101,1.25,47.0,,,,,,,,,,0.0,0.0,,Tuesday,0,1,0,2011,32,0,3,47.0,0.0,1,3
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_5,62.0,d_5,2011-02-02,5,2,Wednesday,,11101,1.25,47.0,,,,,,,,,,0.0,0.0,,Wednesday,0,0,0,2011,33,0,4,47.0,15.0,2,4
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_6,90.0,d_6,2011-02-03,6,2,Thursday,,11101,1.25,62.0,,,,,,,,,,0.0,0.0,,Thursday,0,0,0,2011,34,0,5,62.0,28.0,3,5
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_7,81.0,d_7,2011-02-04,7,2,Friday,,11101,1.25,90.0,,,,,,,,,,0.0,0.0,,Friday,0,0,0,2011,35,0,6,90.0,-9.0,4,6
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_8,124.0,d_8,2011-02-05,1,2,Saturday,,11102,1.25,81.0,107.0,,,88.0,47.06024507656825,,,,,0.0,0.0,,Saturday,1,0,0,2011,36,0,7,81.0,43.0,5,7
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_9,134.0,d_9,2011-02-06,2,2,Sunday,SuperBowl,11102,1.25,124.0,182.0,,,90.42857142857144,48.617065394972656,,,,,0.0,0.0,,Sunday,1,0,0,2011,37,1,8,124.0,10.0,6,8
FOODS_3_090_CA_1_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_1,CA,d_10,65.0,d_10,2011-02-07,3,2,Monday,,11102,1.25,134.0,47.0,,,83.57142857142857,35.037394989054874,,,,,0.0,0.0,,Monday,0,0,0,2011,38,0,9,134.0,-69.0,0,9
